name,description,buildings,type,lat,lng,college
Job Hall Entrance,"North Side, Near E Lot, PAD. Can access by walking through Textor Hall or from the
outside which has all PAD doors.","[""Job Hall""]",entrance/exit,42.421654,-76.497376,Ithaca College
Job Hall Elevator,"Located centrally in building, next to Center for Information Technologies. It provides
access to all floors","[""Job Hall""]",elevator,42.421559,-76.497301,Ithaca College
Job Hall Accessible Bathrooms,Accessible bathrooms are located by the elevators in Job Hall (unisex).,"[""Job Hall"", ""Friends Hall""]",bathroom,42.421527,-76.497269,Ithaca College
Parking Lot E,E lot has 20 spaces,"[""Job Hall"", ""Friends Hall"", ""Textor Hall"", ""Center for Business and Sustainable Enterprise, Dorothy D. and Roy H. Park"", ""Williams Hall"", ""Muller Faculty Center""]",parking,42.422311,-76.496105,Ithaca College
Friends Hall Entrance,"North Side, near flagpole circle, PAD.","[""Friends Hall""]",entrance/exit,42.421911,-76.496679,Ithaca College
Friends Hall Accessible Bathrooms,Nearest accessible bathrooms are located in Jobs Hall (unisex) and Phillips Hall.,"[""Job Hall"", ""Friends Hall""]",bathroom,42.421527,-76.497269,Ithaca College
Friends Hall Access Phone,An access phone is located on the first floor of Friends Hall.,"[""Friends Hall""]",phone,42.421812,-76.496679,Ithaca College
Friends Hall Water Fountain,An accessible water fountain is located on the first floor of Friends Hall.,"[""Friends Hall""]",water fountain,42.421804,-76.496652,Ithaca College
Textor Hall Entrance,"North, near flagpole circle, PAD.","[""Friends Hall"", ""Textor Hall"", ""Muller Faculty Center"", ""Job Hall""]",entrance/exit,42.421923,-76.496255,Ithaca College
Textor Hall Accessible Bathrooms,Located in Phillips Hall next to the Book Store.,"[""Textor Hall"", ""Phillips Hall"", ""Muller Faculty Center""]",bathroom,42.422196,-76.494978,Ithaca College
Textor AT/ALD,"Textor 101, 102, and 103 have FM systems. Please contact Classroom Technology
Services for assistance.","[""Textor Hall""]",at/ald,42.421796,-76.496201,Ithaca College
Textor Hall Classroom Doors,"PAD located at each of the following classrooms: T101, T102, and T103.","[""Textor Hall""]",entrance/exit,42.421796,-76.496201,Ithaca College
Muller Faculty Center Entrance,"North, near flagpole circle, PAD.","[""Friends Hall"", ""Textor Hall"", ""Muller Faculty Center"", ""Job Hall""]",entrance/exit,42.422074,-76.495708,Ithaca College
Muller Faculty Center Accessible Bathrooms ,Located in Phillips hall next to the Book Store.,"[""Textor Hall"", ""Phillips Hall""]",bathroom,42.422196,-76.494978,Ithaca College
Muller Chapel Entrance 1,"North side of building, near pond on ground level.","[""Muller Chapel""]",entrance/exit,42.422763,-76.496647,Ithaca College
Muller Chapel Entrance 2,"East and West entrances on first floor, PAD.","[""Muller Chapel""]",entrance/exit,42.4226,-76.496802,Ithaca College
Williams Hall Entrance 1,First floor west (PAD),"[""Williams Hall""]",entrance/exit,42.422616,-76.495386,Ithaca College
Williams Hall Entrance 2,"First floor east, main entrance (PAD)","[""Williams Hall""]",entrance/exit,42.422747,-76.494876,Ithaca College
Williams Hall Accessible Bathrooms,"Accessible bathrooms located on first, second, and third floors","[""Williams Hall""]",bathroom,42.422683,-76.495112,Ithaca College
Williams Hall Elevator,"Located centrally in building, it provides access to all floors, by east entrance","[""Williams Hall""]",elevator,42.422675,-76.494984,Ithaca College
Parking Lot U,U lot has 11 spaces,"[""Williams Hall"", ""Campus Center"", ""Hammond Health Center""]",parking,42.423079,-76.494528,Ithaca College
Williams Hall Access Phone,An access phone is located on first floor by the west entrance.,"[""Williams Hall""]",phone,42.422612,-76.495386,Ithaca College
Williams Hall Water Fountains,Accessible water fountains located throughout the building.,"[""Williams Hall""]",water fountain,42.422675,-76.49515,Ithaca College
Counseling Center Entrance,"Use the main entrance of the Health Center and access the Counseling Center via
elevator, PAD.","[""Hammond Health Center"", ""Counseling Center""]",entrance/exit,42.422945,-76.493712,Ithaca College
Counseling Center Elevator,"There is a key-operated elevator that connects the health center to the counseling center.
 *For elevator key, contact the Business Office of the Health Center","[""Hammond Health Center"", ""Counseling Center""]",elevator,42.42298,-76.493804,Ithaca College
Counseling Center Accessible Bathrooms,The nearest accessible bathroom is on the first floor in the Health Center,"[""Hammond Health Center"", ""Counseling Center""]",bathroom,42.42293,-76.493802,Ithaca College
Hammond Health Center Entrance,"Main entrance, south side of building, PAD","[""Hammond Health Center"", ""Counseling Center""]",entrance/exit,42.422945,-76.493712,Ithaca College
Hammond Health Center Access Phone,Located by the main entrance,"[""Hammond Health Center"", ""Counseling Center""]",phone,42.422964,-76.493745,Ithaca College
Hammond Health Center Water Fountain,An accessible water cooler is located in the waiting area,"[""Hammond Health Center"", ""Counseling Center""]",water fountain,42.422964,-76.493745,Ithaca College
